doc_id,topic_id,question,answer,source,tags
kb_app_hang,app_hang,Ứng dụng bị treo/đứng,"Anh/chị tắt ứng dụng qua Task Manager (chuột phải thanh taskbar → Task Manager → chọn ứng dụng treo → End task), kiểm tra cập nhật phiên bản hoặc khởi động lại máy tính.",SD workbook,
kb_internet_slow,internet_slow,Internet bị chậm phải làm sao?,"Anh/chị thử kiểm tra router, tắt VPN nếu đang sử dụng.",SD workbook,
kb_screen_off,screen_off,Mở máy nhưng màn hình không lên,"Anh/chị thử khởi động lại máy tính, kiểm tra dây nguồn hoặc nhấn nút nguồn màn hình.",SD workbook,
kb_software_error_code,software_error_code,Ứng dụng đang sử dụng thì xuất hiện mã lỗi,"Anh/chị thử khởi động lại máy tính rồi tiếp tục sử dụng, báo lại nếu vẫn bị hoặc bị thường xuyên. Trước đây máy anh/chị có sử dụng ứng dụng này bình thường không?",SD workbook,
kb_mouse_keyboard,mouse_keyboard,Cắm chuột/bàn phím nhưng không hoạt động,Anh/chị kiểm tra chuột/bàn phím có sáng đèn không? Nếu không dây thử thay pin. Thử cắm thiết bị sang máy khác hoặc cổng khác để kiểm tra.,SD workbook,
kb_wifi,wifi,Không kết nối được với Wi-Fi,"Anh/chị kiểm tra mật khẩu Wi-Fi, router, hoặc thử quên mạng và kết nối lại.",SD workbook,
kb_phishing,phishing,Nhận được email lạ / email giả dạng,"Anh/chị kiểm tra địa chỉ gửi, nội dung bất thường, file đính kèm lạ. Tuyệt đối không nhấn vào link đáng ngờ.",SD workbook,
kb_pw_safe,pw_safe,Tôi muốn đổi mật khẩu an toàn/đúng quy tắc của công ty,"Anh/chị nên đặt mật khẩu mạnh gồm chữ hoa, chữ thường, số và ký tự đặc biệt; các ký tự không liền kề nhau quá 2 (123, asd...) và không dùng lại mật khẩu cũ.",SD workbook,
kb_virus,virus,Tôi nghi ngờ máy bị virus / ứng dụng lạ chạy ngầm,"Anh/chị nên chạy phần mềm antivirus của công ty, cập nhật bản vá và quét toàn bộ hệ thống.",SD workbook,
kb_software_policy,software_policy,Tôi muốn biết chính sách sử dụng phần mềm của công ty,"Công ty có chính sách duyệt phần mềm theo danh sách cho phép (Word, Excel, PowerPoint, Python và các phần mềm thuộc Adobe). Anh/chị cần hướng dẫn chi tiết có thể gửi yêu cầu tới SD.",SD workbook,
kb_it_support_process,it_support_process,Tôi muốn biết quy trình yêu cầu hỗ trợ IT,"Anh/chị gửi yêu cầu qua email Service Desk hoặc hệ thống Groupware, sau đó đính kèm vào email cho Service Desk.",SD workbook,
kb_pc_upgrade_process,pc_upgrade_process,Tôi muốn biết quy trình nâng cấp máy tính,Anh/chị cần gửi yêu cầu đến bộ phận Asset theo quy trình phê duyệt tài sản.,SD workbook,
kb_software_guide,software_guide,Tôi cần được hướng dẫn sử dụng phần mềm,"Anh/chị vui lòng cho biết phần mềm cần hướng dẫn. Em có thể cung cấp tài liệu/link nếu có, hoặc chuyển yêu cầu cho Service Desk hỗ trợ.",SD workbook,
kb_config_guide,config_guide,Tôi cần hướng dẫn cấu hình máy theo chuẩn công ty,"Em có thể cung cấp checklist hoặc hướng dẫn cấu hình theo chuẩn công ty, Anh/Chị vui lòng gửi yêu cầu tới SD.",SD workbook,
kb_install_docs,install_docs,Tôi cần tài liệu hướng dẫn cài đặt phần mềm,Anh/chị cần có yêu cầu đã được phê duyệt đính kèm email và cho biết phần mềm nào để em hỗ trợ.,SD workbook,
kb_maintenance_schedule,maintenance_schedule,Tôi cần biết lịch bảo trì hệ thống,"Em có thể cung cấp lịch bảo trì hệ thống mới nhất nếu có, hoặc chuyển yêu cầu tới SD.",SD workbook,
kb_software_upgrade_plan,software_upgrade_plan,Tôi cần biết kế hoạch nâng cấp phần mềm,Em có thể cung cấp thông tin về các bản cập nhật dự kiến trong tháng nếu có.,SD workbook,
kb_change_pw,change_pw,Thay đổi mật khẩu email/hệ thống,"Anh/chị muốn đổi mật khẩu cho email hay hệ thống nội bộ? Nếu không truy cập được, em sẽ chuyển yêu cầu cho IT hỗ trợ đặt lại mật khẩu.",SD workbook,
kb_login_after_pw,login_after_pw,Không truy cập được tài khoản sau đổi mật khẩu,Anh/chị đổi mật khẩu khi nào? Có thể hệ thống chưa đồng bộ. Anh/chị thử đăng xuất hoàn toàn và chờ 10–15 phút.,SD workbook,
